tipo,wr0,wr1,wr2,wr3,wr4,wr5,wr6,wr7,wr8,wr9,wr10,wr11,wr12,wr13,wr14,wr15,wr16,wr17,wr18,wr19,wr20,wr21,wr22,wr23,wr24,wr25,wr26,wr27,wr28,wr29,wr30,wr31,wr32,wr33,wr34,wr35,wr36,wr37,wr38,wr39,wr40,wr41,wr42,wr43,wr44,wr45,wr46,wr47,wr48,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,wl8,wl9,wl10,wl11,wl12,wl13,wl14,wl15,wl16,wl17,wl18,wl19,wl20,wl21,wl22,wl23,wl24,wl25,wl26,wl27,wl28,wl29,wl30,wl31,wl32,wl33,wl34,wl35,wl36,wl37,wl38,wl39,wl40,wl41,wl42,wl43,wl44,wl45,wl46,wl47,wl48,br0,br1,br2,br3,br4,br5,br6,br7,br8,br9,br10,br11,br12,br13,br14,br15,br16,br17,br18,br19,br20,br21,br22,br23,br24,br25,br26,br27,br28,br29,br30,br31,br32,br33,br34,br35,br36,br37,br38,br39,br40,br41,br42,br43,br44,br45,br46,br47,br48,bl0,bl1,bl2,bl3,bl4,bl5,bl6,bl7,bl8,bl9,bl10,bl11,bl12,bl13,bl14,bl15,bl16,bl17,bl18,bl19,bl20,bl21,bl22,bl23,bl24,bl25,bl26,bl27,bl28,bl29,bl30,bl31,bl32,bl33,bl34,bl35,bl36,bl37,bl38,bl39,bl40,bl41,bl42,bl43,bl44,bl45,bl46,bl47,bl48,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,r
1,0,0,8,0,0,8,0,0,0,0,8,0,8,0,0,8,0,0,0,17,0,8,0,0,0,8,0,8,0,0,0,8,0,0,8,8,0,0,0,21,0,0,0,0,0,0,0,8,0,0,0,8,0,0,17,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,20,16,17,17,17,15,17,17,9,14,13,13,14,20,20,29,14,22,11,13,13,13,13,3,13,13,13,11,2,15,13,21,20,26,20,26,9,17,13,13,17,15,13,14,13,8,13,9,14,19,17,22,17,18,17,18,15,10,17,14,15,20,19,20,24,15,18,10,12,9,9,11,4,14,12,16,10,6,15,15,22,15,24,18,23,11,15,17,10,15,12,10,13,13,8,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,9
1,0,0,8,0,8,8,0,0,0,0,8,0,8,0,0,8,0,0,0,17,0,8,0,0,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0,0,8,0,0,0,0,17,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,13,11,15,14,16,11,13,13,7,11,10,7,13,13,14,13,7,16,4,13,7,4,7,2,8,4,9,9,1,8,9,17,16,21,15,14,4,13,8,4,10,6,3,4,3,1,2,2,4,12,12,16,14,11,13,13,10,3,9,11,8,7,4,13,17,13,13,7,6,4,4,8,1,8,7,9,2,4,8,6,9,10,19,13,17,7,13,13,3,9,6,4,2,3,0,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3
1,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,17,0,8,0,0,0,8,0,8,0,0,0,8,0,0,17,8,0,0,0,17,0,0,8,0,0,0,0,8,0,0,0,8,0,0,17,0,8,0,0,8,0,8,0,8,17,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,15,12,17,13,11,13,12,11,9,13,13,12,14,16,18,18,9,17,4,9,7,4,4,1,3,4,6,6,2,11,10,17,16,23,15,18,3,13,13,8,13,9,6,8,8,2,6,3,8,9,6,16,14,13,10,13,11,4,6,4,12,14,13,14,20,13,13,7,7,4,2,4,1,1,4,9,6,1,8,9,14,11,18,12,19,6,11,10,7,11,9,7,6,4,3,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3
1,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,8,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,17,0,0,8,0,0,0,0,8,0,0,0,0,0,0,8,0,8,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,4,6,12,16,10,15,13,16,11,13,13,9,16,15,13,17,18,18,22,13,17,8,11,9,10,10,3,11,11,9,6,4,13,13,17,15,20,15,21,7,13,13,10,14,9,11,8,8,4,9,4,8,14,13,16,15,14,13,13,11,6,14,12,9,10,13,17,17,11,14,10,9,9,6,8,7,9,9,11,6,6,12,9,12,13,19,12,15,7,13,13,7,14,9,10,8,10,6,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,7
1,0,8,8,0,0,8,0,0,0,0,8,0,8,0,0,0,8,0,0,17,0,8,0,0,0,8,0,8,0,0,0,8,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,8,0,0,0,8,0,0,8,0,8,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,11,12,14,14,16,11,13,11,9,8,7,10,10,10,11,17,9,15,7,9,9,7,8,3,7,7,9,7,6,10,9,14,13,23,14,17,4,13,7,4,10,7,6,8,8,3,10,10,15,22,17,21,19,17,16,19,16,10,18,14,14,16,14,20,26,17,18,11,11,9,9,10,4,12,12,17,9,4,14,13,18,14,23,17,23,9,14,15,13,18,15,14,13,11,4,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,7
1,0,0,8,0,8,0,0,0,0,0,8,0,8,0,0,0,0,0,0,17,0,8,0,0,0,8,0,8,0,0,0,8,0,0,8,8,0,0,0,17,0,0,8,0,0,0,0,8,0,0,0,8,0,0,17,0,0,0,0,8,0,8,0,8,8,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,17,17,0,0,0,0,0,8,0,0,0,0,0,0,0,9,6,13,16,13,20,18,17,15,16,14,9,17,15,13,17,18,17,20,12,16,10,13,13,10,10,2,13,11,10,9,2,16,12,17,18,21,14,18,4,15,11,10,15,11,9,10,10,6,7,9,10,17,8,16,17,16,16,13,13,8,14,14,11,16,14,16,17,11,14,10,9,8,8,11,8,9,10,7,10,2,14,12,14,13,18,12,14,7,13,15,10,14,8,4,6,8,2,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,8
1,0,8,8,0,0,8,0,0,0,0,0,8,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,8,0,0,8,0,0,8,0,0,0,0,17,0,0,8,0,0,0,0,8,0,0,0,8,0,0,17,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,16,13,19,17,17,17,16,14,10,13,13,10,15,17,20,20,7,19,11,15,13,13,15,3,13,10,14,9,2,13,10,19,16,24,18,20,9,16,13,11,17,11,11,11,15,8,9,6,9,12,9,21,17,16,13,17,13,9,13,12,14,13,14,17,26,15,17,11,12,12,12,13,4,15,12,15,9,2,13,14,18,14,22,14,23,9,13,15,13,18,14,11,14,13,10,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,9
1,0,0,17,0,0,17,0,0,0,0,8,8,8,0,0,17,8,0,0,17,0,17,0,0,0,17,0,17,0,8,8,8,0,0,21,8,8,0,0,17,0,0,8,0,0,0,8,8,0,0,0,8,0,0,17,0,8,0,0,8,0,8,0,8,21,17,0,0,0,8,8,0,0,0,0,0,0,0,8,0,0,0,8,21,17,8,0,0,0,0,8,8,0,0,0,0,0,0,4,4,11,10,11,15,13,15,11,12,13,4,11,10,10,8,13,17,21,12,13,7,9,11,8,10,2,9,7,6,4,1,10,10,14,15,23,15,20,4,13,10,7,11,9,9,8,7,3,7,6,9,15,17,20,17,17,13,15,11,9,14,13,11,13,15,14,19,13,15,7,9,9,8,8,4,9,10,9,9,4,15,11,17,14,21,14,15,7,13,15,8,14,10,7,9,10,1,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,4
1,0,0,8,0,0,17,0,0,0,0,0,8,0,0,0,17,0,0,0,17,0,8,0,0,0,0,0,8,0,0,0,8,0,0,21,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,8,0,0,21,0,0,0,0,8,0,0,0,8,17,17,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,0,8,21,17,0,0,0,0,0,0,0,0,0,0,8,8,0,6,6,9,15,13,17,14,17,11,13,11,7,11,10,10,11,13,18,22,12,19,8,15,11,10,11,2,11,11,10,7,2,10,9,13,15,24,15,21,4,16,10,11,17,11,13,11,11,4,6,6,10,19,11,18,17,16,17,17,15,11,17,17,14,21,17,20,26,15,18,10,9,9,8,8,4,9,9,9,9,4,17,14,20,15,28,18,23,9,15,15,11,15,10,10,9,8,8,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,8
1,0,8,17,0,0,17,0,8,0,0,8,8,8,0,0,17,8,0,0,17,0,8,0,0,0,8,0,17,0,0,8,8,0,0,28,8,0,0,0,21,0,0,8,8,0,0,0,17,0,0,0,8,0,0,28,8,8,0,0,8,0,8,0,8,21,17,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,8,28,21,8,0,0,0,0,8,0,8,8,0,17,28,0,10,10,12,15,13,19,16,17,13,13,11,7,13,13,10,17,17,14,22,10,16,8,11,10,8,7,3,10,8,10,7,2,11,8,19,17,21,14,17,7,15,10,7,11,9,7,7,7,3,9,8,9,17,16,21,17,17,16,17,13,8,14,12,11,13,14,17,19,13,15,4,9,6,4,4,3,6,4,7,4,4,11,9,13,11,21,13,17,6,13,11,7,9,8,4,8,10,2,46,57,28,64,54,53,41,40,45,43,37,49,27,49,43,62,59,65,69,53,69,43,45,48,48,62,64,45,45,75,46,19,43,35,65,24,64,67,62,40,62,43,48,49,45,74,45,70,61,21.0,127911,127911,127911,127911,127911,127911,127911,127911,127911,127911,126518,126518,126518,126518,126518,126518,126518,126518,126518,126518,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,126012,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,4
